Name,State,Electorate,Party,ScreenName,Gender,Comments
Tony Pasin,South Australia,Barker,Lib,TonyPasin,,
Nicolle Flint,South Australia,Boothby,Lib,NicolleFlint,,
Geoff Russell,South Australia,Boothby,AJP,GeoffRussellAJP,,
Rowan Ramsey,South Australia,Grey,Lib,RowanRamseyMP,,
Andrea Broadfoot,South Australia,Grey,CA,AndreaBroadfoot,,
Mark Butler,South Australia,Hindmarsh,Labor,Mark_Butler_MP,,
Jake Hall-Evans,South Australia,Hindmarsh,Lib,hallevansjake,,
Amanda Rishworth,South Australia,Kingston,Labor,AmandaRishworth,,
Georgina Downer,South Australia,Mayo,Lib,GeorginaDowner,,
Rebekha Sharkie,South Australia,Mayo,CA,MakeMayoMatter,,
Nick Champion,South Australia,Spence,Labor,NickChampionMP,,
James Stevens,South Australia,Sturt,Lib,James_Stevens,,
Ross Hart,Tasmania,Bass,Labor,RossHartMP,,
Bridget Archer,Tasmania,Bass,Lib,bridgetarcher,,
Justine Keay,Tasmania,Braddon,Labor,justinekeay,,
Amanda-Sue Markham,Tasmania,Clark,Lib,amandasue085,,
Andrew Wilkie,Tasmania,Clark,Ind,WilkieMP,,
Julie Collins,Tasmania,Franklin,Labor,JulieCollinsMP,,
Brian Mitchell,Tasmania,Lyons,Labor,BrianMitchellMP,,
Deanna Hutchinson,Tasmania,Lyons,Nat,simulationagent,,
Kadira Pethiyagoda,Victoria,Aston,Labor,KPethiyagoda,,
Alan Tudge,Victoria,Aston,Lib,AlanTudgeMP,,
Catherine King,Victoria,Ballarat,Labor,CatherineKingMP,,
Lisa Chesters,Victoria,Bendigo,Labor,LMChesters,,
Robert Holian,Victoria,Bendigo,Greens,RobertHolian,,
Julian Hill,Victoria,Bruce,Labor,JulianHillMP,,
Maria Vamvakinou,Victoria,Calwell,Labor,MariaVamvakinou,,
Prakul Chhabra,Victoria,Calwell,UAP,Prakul_,,
Tony Smith,Victoria,Casey,Lib,TonySmithMP,,
Ged Kearney,Victoria,Cooper,Labor,gedkearney,,
Brett Nangle,Victoria,Cooper,UAP,BrettNangle,,
Nadine Richings,Victoria,Cooper,AJP,DrNRichings,,
Libby Coker,Victoria,Corangamite,Labor,LibbyCokerLabor,,
Sarah Henderson,Victoria,Corangamite,Lib,SHendersonMP,,
Richard Marles,Victoria,Corio,Labor,RichardMarlesMP,,
Amber Forbes,Victoria,Corio,Greens,AmberAForbes,,
Shireen Morris,Victoria,Deakin,Labor,ShireenMorrisMs,,
Michael Sukkar,Victoria,Deakin,Lib,MichaelSukkarMP,,
Sophia Sun,Victoria,Deakin,Greens,sophias95953928,,
Milton Wilde,Victoria,Deakin,UAP,MiltonWilde,,
Peta Murphy,Victoria,Dunkley,Labor,petajan,,
Chris Crewther,Victoria,Dunkley,Lib,ChrisCrewtherMP,,
Joshua Sinclair,Victoria,Flinders,Labor,sinclair_josh,,
Greg Hunt,Victoria,Flinders,Lib,GregHuntMP,,
