Name,State,Electorate,Party,Screen_Name,Gender,Comments
Julian Burnside,Victoria,Kooyong,Australian Greens,JulianBurnside,,
Oliver Yates,Victoria,Kooyong,Independent,_Oliver_Yates,,
Steven D'Elia,Victoria,Kooyong,United Australia Party,StevenDElia,,
Simon Curtis,Victoria,La Trobe,Australian Labor Party,simonforlatrobe,,
Jason Wood,Victoria,La Trobe,Liberal Party of Australia,JasonWood_MP,M,
Duncan Dean,Victoria,La Trobe,United Australia Party,duncandean,,
Joanne Ryan,Victoria,Lalor,Australian Labor Party,JoanneRyanLalor,,
Josh Burns,Victoria,Macnamara,Australian Labor Party,josh4macnamara,,
Kate Ashmor,Victoria,Macnamara,Liberal Party of Australia,KateAshmor,,
Steph-Hodgins May,Victoria,Macnamara,Australian Greens,vote1steph,,
Leigh Firman,Victoria,Mallee,Science Party,FirmanLeigh,,
Ray Kingston,Victoria,Mallee,Independent,MalleeRay,,
Cecila Moar,Victoria,Mallee,Independent,CeciliaMoar,,
Jason Modica,Victoria,Mallee,Independent,modica4mallee,,
Rick Millar,Victoria,Mallee,United Australia Party,RickMillar4,,
Bill Shorten,Victoria,Maribyrnong,Australian Labor Party,billshortenmp,,
James Williams,Victoria,Maribyrnong,Australian Greens,JamesWGreens,,
Rob Mitchell,Victoria,McEwen,Australian Labor Party,RobMitchellMP,,
Neil Barker,Victoria,McEwen,Australian Greens,nkbarker,,
Chris Hayman,Victoria,McEwen,United Australia Party,Hayman1Hayman,,
Adam Bandt,Victoria,Melbourne,Australian Greens,AdamBandt,,
Stella Yee,Victoria,Menzies,Australian Labor Party,Stella4Menzies,,
Kevin Andrews,Victoria,Menzies,Liberal Party of Australia,kevinandrewsmp,,
Jessica O'Donnell,Victoria,Monash,Australian Labor Party,CrODonnell,,
Russell Broadbent,Victoria,Monash,Liberal Party of Australia,BroadbentMP,,
William Hornstra,Victoria,Monash,Australian Greens,ThePoliticsNut,,
Michael Fozard,Victoria,Monash,Independent,fozard_michael,,
Bill Lodwick,Victoria,Nicholls,Australian Labor Party,billlodwick4mp,,
Damian Drum,Victoria,Nicholls,National Party of Australia,damiandrummp,,
Andrew Bock,Victoria,Nicholls,Independent,Bock4Nicholls,,
Andrew Giles,Victoria,Scullin,Australian Labor Party,andrewjgiles,,
Yassin Akram Albarri,Victoria,Scullin,Independent,YAAlbarri,,
Rod Whitfield,Victoria,Scullin,Animal Justice Party,Rod_Whitfield,,
Maurice Billi,Victoria,Wannon,Australian Labor Party,mauricebilli,,
Dan Tehan,Victoria,Wannon,Liberal Party of Australia,DanTehanWannon,,
Peter Khalil,Victoria,Wills,Australian Labor Party,PeterKhalilMP,,
Adam Pulford,Victoria,Wills,Australian Greens,adampulford,M,
Sue Bolton,Victoria,Wills,Victorian Socialists,sueabolton,F,
Chris Miles,Victoria,Wills,Animal Justice Party,ChrisMilesAJP,,
Madeleine King,Western Australia,Brand,Australian Labor Party,MadeleineMHKing,,
Matt Keogh,Western Australia,Burt,Australian Labor Party,mattkeogh,,
Mark Cooper,Western Australia,Cowan,Australian Greens,mark_coopotron,M,
Sheila Mundy,Western Australia,Cowan,Pauline Hanson's One Nation,sheila_mundy,F,
Louise Stewart,Western Australia,Curtin,Independent,1LouiseStewart,F,
Melissa Price,Western Australia,Durack,Liberal Party of Australia,Melissa4Durack,,
Johani Mamid,Western Australia,Durack,Australian Greens,johani_mamid,M,
Nola Marino,Western Australia,Forrest,Liberal Party of Australia,NolaMarinoMP,,
Nerilee Boshammer,Western Australia,Forrest,Australian Greens,nezziebee82,,
Josh Wilson,Western Australia,Fremantle,Australian Labor Party,Josh4Freo,,
Ken Wyatt,Western Australia,Hasluck,Liberal Party of Australia,KenWyattMP,,
Lee-Anne Miles,Western Australia,Hasluck,Australian Greens,LeeAnne4Pearce,F,
Mike Dale,Western Australia,Hasluck,United Australia Party,MikeUap,,
Ian Goodenough,Western Australia,Moore,Liberal Party of Australia,IanGoodenoughMP,,
Rick Wilson,Western Australia,O'Connor,Liberal Party of Australia,Rick_Wilson_Lib,,
Anthony Fels,Western Australia,O'Connor,United Australia Party,HonAnthonyFels,M,
John Hassell,Western Australia,O'Connor,National Party of Australia,HassellOConnor,M,
Peter Swift,Western Australia,O'Connor,Western Australia Party,Peterswift12,M,
Christian Porter,Western Australia,Pearce,Liberal Party of Australia,cporterwa,,
Michael Calautti,Western Australia,Pearce,Western Australia Party,MichaelCalautti,,
Vince Connelly,Western Australia,Stirling,Liberal Party of Australia,vince_connelly,,
Steve Irons,Western Australia,Swan,Liberal Party of Australia,SteveIronsMP,M,
Liberty Cramer,Western Australia,Swan,Australian Greens,LibertyCramer,F,
Steve Klomp,Western Australia,Swan,Australian Christians,SteveKlomp,M,
Jillian Horton,Western Australia,Tangney,Independent,DrJillianHorton,F,
